patient,sample_id,sample_origin,analysis_group,cells
p007,p007n,Normal,CAF_like,23
p007,p007n,Normal,Epithelial,837
p007,p007n,Normal,Immune,344
p007,p007n,Normal,Vascular,4
p007,p007t,Tumor,CAF_like,35
p007,p007t,Tumor,Epithelial,1011
p007,p007t,Tumor,Immune,973
p007,p007t,Tumor,Other_stromal,2
p007,p007t,Tumor,Vascular,23
p008,p008n,Normal,Epithelial,757
p008,p008n,Normal,Immune,550
p008,p008t,Tumor,CAF_like,238
p008,p008t,Tumor,Epithelial,570
p008,p008t,Tumor,Immune,2360
p008,p008t,Tumor,Other_stromal,10
p008,p008t,Tumor,Vascular,158
p009,p009n1,Normal,CAF_like,19
p009,p009n1,Normal,Epithelial,2303
p009,p009n1,Normal,Immune,754
p009,p009n1,Normal,Other_stromal,3
p009,p009n1,Normal,Vascular,9
p009,p009n2,Normal,CAF_like,72
p009,p009n2,Normal,Epithelial,3332
p009,p009n2,Normal,Immune,582
p009,p009n2,Normal,Other_stromal,3
p009,p009n2,Normal,Vascular,8
p009,p009t1,Tumor,CAF_like,7
p009,p009t1,Tumor,Epithelial,2055
p009,p009t1,Tumor,Immune,785
p009,p009t1,Tumor,Vascular,42
p009,p009t2,Tumor,CAF_like,20
p009,p009t2,Tumor,Epithelial,1931
p009,p009t2,Tumor,Immune,2089
p009,p009t2,Tumor,Vascular,72
p012,p012n,Normal,CAF_like,304
p012,p012n,Normal,Epithelial,1124
p012,p012n,Normal,Immune,3082
p012,p012n,Normal,Other_stromal,12
p012,p012n,Normal,Vascular,44
p012,p012t,Tumor,CAF_like,45
p012,p012t,Tumor,Epithelial,906
p012,p012t,Tumor,Immune,3149
p012,p012t,Tumor,Other_stromal,5
p012,p012t,Tumor,Vascular,17
p013,p013n,Normal,CAF_like,32
p013,p013n,Normal,Epithelial,1396
p013,p013n,Normal,Immune,2224
p013,p013n,Normal,Other_stromal,7
p013,p013n,Normal,Vascular,11
p013,p013t,Tumor,CAF_like,47
p013,p013t,Tumor,Epithelial,1125
p013,p013t,Tumor,Immune,2203
p013,p013t,Tumor,Other_stromal,10
p013,p013t,Tumor,Vascular,39
p014,p014n,Normal,CAF_like,35
p014,p014n,Normal,Epithelial,1961
p014,p014n,Normal,Immune,943
p014,p014n,Normal,Other_stromal,2
p014,p014n,Normal,Vascular,15
p014,p014t,Tumor,CAF_like,123
p014,p014t,Tumor,Epithelial,1277
p014,p014t,Tumor,Immune,1991
p014,p014t,Tumor,Other_stromal,8
p014,p014t,Tumor,Vascular,102
p016,p016n,Normal,CAF_like,43
p016,p016n,Normal,Epithelial,2709
p016,p016n,Normal,Immune,1114
p016,p016n,Normal,Other_stromal,7
p016,p016n,Normal,Vascular,21
p016,p016t,Tumor,CAF_like,261
p016,p016t,Tumor,Epithelial,967
p016,p016t,Tumor,Immune,1576
p016,p016t,Tumor,Vascular,115
p017,p017n,Normal,CAF_like,77
p017,p017n,Normal,Epithelial,1475
p017,p017n,Normal,Immune,1464
p017,p017n,Normal,Other_stromal,7
p017,p017n,Normal,Vascular,7
p017,p017t,Tumor,CAF_like,402
p017,p017t,Tumor,Epithelial,1775
p017,p017t,Tumor,Immune,3192
p017,p017t,Tumor,Other_stromal,33
p017,p017t,Tumor,Vascular,130
p020,p020n,Normal,Epithelial,658
p020,p020n,Normal,Immune,224
p020,p020t,Tumor,Epithelial,320
p020,p020t,Tumor,Immune,97
p021,p021n,Normal,Epithelial,1090
p021,p021n,Normal,Immune,77
p021,p021t,Tumor,CAF_like,44
p021,p021t,Tumor,Epithelial,132
p021,p021t,Tumor,Immune,1056
p021,p021t,Tumor,Other_stromal,1
p021,p021t,Tumor,Vascular,22
p025,p025n,Normal,CAF_like,57
p025,p025n,Normal,Epithelial,232
p025,p025n,Normal,Immune,411
p025,p025n,Normal,Other_stromal,1
p025,p025n,Normal,Vascular,3
p025,p025t,Tumor,CAF_like,9
p025,p025t,Tumor,Epithelial,414
p025,p025t,Tumor,Immune,680
p025,p025t,Tumor,Vascular,14
p026,p026t,Tumor,CAF_like,93
p026,p026t,Tumor,Epithelial,890
p026,p026t,Tumor,Immune,2532
p026,p026t,Tumor,Other_stromal,4
p026,p026t,Tumor,Vascular,46
